Job Title,Company,Location,Work Type,Salary,Link
Senior Golang Engineer,PT Starvo Global Energi,"Penjaringan, Jakarta Utara, DKI Jakarta, Indonesia",Kurang dari setahun,N/A,https://glints.com/id/opportunities/jobs/senior-golang-engineer/13b048bd-7232-4b50-87fa-3a05af68bf74?utm_referrer=explore
Content Creator,Howel And Co,"Tambora, Jakarta Barat, DKI Jakarta, Indonesia",Minimal SMA/SMK,N/A,https://glints.com/id/opportunities/jobs/content-creator/7c80e974-4ce2-4b36-84cc-df68d93e0356?utm_referrer=explore
Sales Marketing,PT. Estetika Ruang Indah,"Sungai Pinang, Samarinda, Kalimantan Timur, Indonesia",Pengalaman Buat Konten,N/A,https://glints.com/id/opportunities/jobs/sales-marketing/e31e63c7-de72-435a-8514-99296d16f1a0?utm_referrer=explore
Sales Corporate Staff,PT Bravo Persada Nusantara (Bravo Wisata),"Tangerang, Tangerang, Banten, Indonesia",+2,N/A,https://glints.com/id/opportunities/jobs/sales-corporate-staff/aed67c29-fc9f-4770-b394-c25f452b3c45?utm_referrer=explore
Senior Tax Planner & Manager,Patris Official,"Bogor Timur, Bogor, Jawa Barat, Indonesia",Penuh Waktu,N/A,https://glints.com/id/opportunities/jobs/senior-tax-planner-and-manager/61865ecc-7801-45fe-8e48-ca0e2ed48295?utm_referrer=explore
STAFF PAJAK,DM GROUP,"Kapanewon Banguntapan, Bantul, DI Yogyakarta, Indonesia",Kurang dari setahun,N/A,https://glints.com/id/opportunities/jobs/staff-pajak/74595c8b-ca71-4f3d-b56e-df3c2d6e3aba?utm_referrer=explore
Math Teacher(Remote),HIGGZ ACADEMIA TECHNOLOGY PTE. LTD.,"Rungkut, Surabaya, Jawa Timur, Indonesia",Minimal SMA/SMK,N/A,https://glints.com/id/opportunities/jobs/math-teacherremote/a3c39694-c81a-4665-8298-b97c246fa410?utm_referrer=explore
Editor Video Series Drama,PT. TREASURE SHIP INDONESIA,"Penjaringan, Jakarta Utara, DKI Jakarta, Indonesia",Eyelash Extensions,N/A,https://glints.com/id/opportunities/jobs/editor-video-series-drama/a809917a-d702-43f0-9772-b0945e0afcdb?utm_referrer=explore
Sales Mobil Honda,PT. Parama Sutera Autotren,"Pinang, Tangerang, Banten, Indonesia",+2,N/A,https://glints.com/id/opportunities/jobs/sales-mobil-honda/34a0cd70-c21c-4d93-8999-3f5b4bb8e3ff?utm_referrer=explore
Freelance Operations [Balikpapan],PT Paragon Pratama Teknologi (StickEarn),"Balikpapan Selatan, Balikpapan, Kalimantan Timur, Indonesia",Kontrak,N/A,https://glints.com/id/opportunities/jobs/freelance-operations-balikpapan/b84005a4-f78d-4235-a18b-a37bd08218ee?utm_referrer=explore
HRD Internship,PT Pick Arpu Technology,"Penjaringan, Jakarta Utara, DKI Jakarta, Indonesia",3 – 5 tahun,N/A,https://glints.com/id/opportunities/jobs/hrd-internship/3d2e9ef2-31c1-4ff9-8490-96f1fd3be1ed?utm_referrer=explore
Content Creator,Hivenley,"Kapanewon Pajangan, Bantul, DI Yogyakarta, Indonesia",Minimal Diploma (D1 - D4),N/A,https://glints.com/id/opportunities/jobs/content-creator/82f6008e-e829-49f7-b0a6-4b664ceea247?utm_referrer=explore
Credit Marketing Officer,PT Manu ,"Duren Sawit, Jakarta Timur, DKI Jakarta, Indonesia",Food Hygiene,N/A,https://glints.com/id/opportunities/jobs/credit-marketing-officer/5413e14e-4293-4ca9-869f-1989b7916529?utm_referrer=explore
Shopkeeper,Secaca.id,"Puri, Mojokerto, Jawa Timur, Indonesia",Catering Service,N/A,https://glints.com/id/opportunities/jobs/shopkeeper/3ff21a14-d270-4682-a8be-d51ebc374eb3?utm_referrer=explore
Shopkeeper,Secaca.id,"Puri, Mojokerto, Jawa Timur, Indonesia",+2,N/A,https://glints.com/id/opportunities/jobs/shopkeeper/3a56c207-6060-4795-8525-e985842de612?utm_referrer=explore
Shopkeeper,Secaca.id,"Puri, Mojokerto, Jawa Timur, Indonesia",Penuh Waktu,N/A,https://glints.com/id/opportunities/jobs/shopkeeper/dd4b3bde-8e93-47d4-b93a-4963b8ddfae1?utm_referrer=explore
Teknik Elektromedik (Atem),Omnifit,"Cakung, Jakarta Timur, DKI Jakarta, Indonesia",1 – 3 tahun,N/A,https://glints.com/id/opportunities/jobs/teknik-elektromedik-atem/0c6d0f5c-1b1f-4ee0-ac07-28cb102b54e4?utm_referrer=explore
Mobile Waiter,Brillant Autocare,"Rungkut, Surabaya, Jawa Timur, Indonesia",Minimal Sarjana (S1),N/A,https://glints.com/id/opportunities/jobs/mobile-waiter/ef820ba2-0db9-4b98-b374-ffc7c6aeadfc?utm_referrer=explore
Admin Sales Optimize Kaca,PT. JATILUHUR INDOGLASS MANDIRI,"Pademangan, Jakarta Utara, DKI Jakarta, Indonesia",Odoo Developer,N/A,https://glints.com/id/opportunities/jobs/admin-sales-optimize-kaca/9b4793d2-0c2c-4b6d-ae49-70add540e9c5?utm_referrer=explore
Design Engineer,PT Sentratek Adiprestasi,"Sawah Besar, Jakarta Pusat, DKI Jakarta, Indonesia",Penuh Waktu,"Rp2,5jt-Rp2,5jt",https://glints.com/id/opportunities/jobs/design-engineer/226c3a0f-6382-490a-9a32-9525c6880de2?utm_referrer=explore
Web Developer Intern,Alan Creative,"Cimanggis, Depok, Jawa Barat, Indonesia",Kurang dari setahun,"Rp2,5jt-Rp2,5jt",https://glints.com/id/opportunities/jobs/web-developer-intern/3ba316c0-b88b-4b89-b130-58874f99687f?utm_referrer=explore
